199.09	6.00
199.89	1.00
200.69	0.00
201.50	-2.00
202.30	2.00
203.10	3.00
203.90	2.00
204.70	4.00
205.50	2.00
206.30	3.00
207.10	6.00
207.90	8.00
208.70	3.00
209.51	10.00
210.31	6.00
211.11	1.00
211.91	6.00
212.71	2.00
213.51	2.00
214.31	6.00
215.11	6.00
215.91	8.00
216.71	8.00
217.51	7.00
218.31	10.00
219.11	10.00
219.91	10.00
220.71	7.00
221.51	6.00
222.31	13.00
223.11	11.00
223.90	10.00
224.70	12.00
225.50	10.00
226.30	20.00
227.10	8.00
227.90	16.00
228.70	21.00
229.50	15.00
230.30	17.00
231.10	21.00
231.89	18.00
232.69	24.00
233.49	42.00
234.29	79.00
235.09	144.00
235.89	263.00
236.68	449.00
237.48	613.00
238.28	717.00
239.08	684.00
239.88	537.00
240.67	320.00
241.47	151.00
242.27	64.00
243.07	30.00
243.86	17.00
244.66	14.00
245.46	20.00
246.26	12.00
247.05	12.00
247.85	24.00
248.65	11.00
249.44	12.00
250.24	6.00
251.04	7.00
251.83	6.00
252.63	5.00
253.43	12.00
254.22	14.00
255.02	6.00
255.82	6.00
256.61	7.00
257.41	4.00
258.21	6.00
259.00	6.00
259.80	4.00
260.59	10.00
261.39	4.00
262.19	3.00
262.98	3.00
263.78	2.00
264.57	2.00
265.37	4.00
266.16	4.00
266.96	5.00
267.75	3.00
268.55	7.00
269.34	-6.00
270.14	-4.00
270.93	-2.00
271.73	4.00
272.52	3.00
273.32	2.00
274.11	8.00
274.91	5.00
275.70	1.00
276.50	4.00
277.29	-1.00
278.09	8.00
278.88	6.00
279.67	7.00
280.47	3.00
281.26	3.00
282.06	-2.00
282.85	-2.00
283.64	-1.00
284.44	5.00
285.23	1.00
286.02	7.00
286.82	8.00
287.61	-1.00
288.40	6.00
289.20	0.00
289.99	8.00
290.78	1.00
291.58	3.00
292.37	1.00
293.16	8.00
293.95	-1.00
294.75	2.00
295.54	-1.00
296.33	3.00
297.13	5.00
297.92	3.00
298.71	13.00
299.50	4.00
300.29	3.00
301.09	2.00
301.88	-2.00
302.67	3.00
303.46	6.00
304.25	4.00
305.05	5.00
305.84	5.00
306.63	7.00
307.42	1.00
308.21	0.00
309.00	-3.00
309.79	2.00
310.59	6.00
311.38	5.00
312.17	1.00
312.96	5.00
313.75	3.00
314.54	5.00
315.33	0.00
316.12	5.00
316.91	5.00
317.70	2.00
318.49	0.00
319.28	4.00
320.07	6.00
320.87	4.00
321.66	1.00
322.45	0.00
323.24	7.00
324.03	9.00
324.82	-2.00
325.61	3.00
326.39	-1.00
327.18	1.00
327.97	7.00
328.76	0.00
329.55	4.00
330.34	3.00
331.13	4.00
331.92	2.00
332.71	5.00
333.50	-1.00
334.29	1.00
335.08	3.00
335.87	3.00
336.65	7.00
337.44	-2.00
338.23	4.00
339.02	2.00
339.81	2.00
340.60	7.00
341.39	3.00
342.17	3.00
342.96	-4.00
343.75	-2.00
344.54	4.00
345.33	-3.00
346.11	5.00
346.90	6.00
347.69	6.00
348.48	8.00
349.26	1.00
350.05	4.00
350.84	4.00
351.63	6.00
352.41	2.00
353.20	3.00
353.99	6.00
354.78	0.00
355.56	6.00
356.35	0.00
357.14	5.00
357.92	0.00
358.71	4.00
359.50	1.00
360.28	-4.00
361.07	-1.00
361.86	3.00
362.64	4.00
363.43	3.00
364.21	0.00
365.00	-3.00
365.79	4.00
366.57	0.00
367.36	0.00
368.14	9.00
368.93	6.00
369.72	4.00
370.50	3.00
371.29	1.00
372.07	4.00
372.86	2.00
373.64	4.00
374.43	2.00
375.21	9.00
376.00	3.00
376.78	1.00
377.57	8.00
378.35	5.00
379.14	-1.00
379.92	3.00
380.71	5.00
381.49	6.00
382.28	0.00
383.06	6.00
383.84	0.00
384.63	1.00
385.41	-2.00
386.20	10.00
386.98	5.00
387.76	2.00
388.55	4.00
389.33	5.00
390.12	5.00
390.90	12.00
391.68	1.00
392.47	12.00
393.25	6.00
394.03	8.00
394.82	1.00
395.60	2.00
396.38	3.00
397.17	2.00
397.95	6.00
398.73	7.00
399.51	12.00
400.30	6.00
401.08	5.00
401.86	4.00
402.65	1.00
403.43	2.00
404.21	6.00
404.99	4.00
405.77	8.00
406.56	0.00
407.34	5.00
408.12	2.00
408.90	8.00
409.68	-1.00
410.47	4.00
411.25	3.00
412.03	10.00
412.81	7.00
413.59	6.00
414.37	6.00
415.16	7.00
415.94	9.00
416.72	11.00
417.50	6.00
418.28	6.00
419.06	7.00
419.84	8.00
420.62	11.00
421.40	5.00
